"artname","pop_nr","tpop_nr","jahr","typ"
"Inula helvetica Weber",79,6,2035,"ek"
"Inula helvetica Weber",79,6,2043,"ek"
"Inula helvetica Weber",92,1,2025,"ek"
"Inula helvetica Weber",92,1,2029,"ek"
"Inula helvetica Weber",92,1,2037,"ek"
"Inula helvetica Weber",92,1,2045,"ek"
"Inula helvetica Weber",102,2,2029,"ek"
"Inula helvetica Weber",102,2,2031,"ek"
"Inula helvetica Weber",102,2,2035,"ek"
"Inula helvetica Weber",102,2,2043,"ek"
"Inula hirta L.",11,13,2025,"ek"
"Inula hirta L.",11,13,2029,"ek"
"Inula hirta L.",11,13,2037,"ek"
"Inula hirta L.",11,13,2045,"ek"
"Inula hirta L.",11,14,2025,"ek"
"Inula hirta L.",11,14,2029,"ek"
"Inula hirta L.",11,14,2037,"ek"
"Inula hirta L.",11,14,2045,"ek"
"Liparis loeselii (L.) Rich.",3,2,2025,"ek"
"Liparis loeselii (L.) Rich.",3,2,2027,"ek"
"Liparis loeselii (L.) Rich.",3,2,2029,"ek"
"Liparis loeselii (L.) Rich.",3,2,2031,"ek"
"Liparis loeselii (L.) Rich.",3,2,2033,"ek"
"Liparis loeselii (L.) Rich.",3,2,2035,"ek"
"Liparis loeselii (L.) Rich.",3,2,2037,"ek"
"Liparis loeselii (L.) Rich.",3,2,2039,"ek"
"Liparis loeselii (L.) Rich.",3,2,2041,"ek"
"Liparis loeselii (L.) Rich.",3,2,2043,"ek"
"Liparis loeselii (L.) Rich.",3,2,2045,"ek"
"Liparis loeselii (L.) Rich.",3,2,2047,"ek"
"Liparis loeselii (L.) Rich.",59,4,2027,"ek"
"Liparis loeselii (L.) Rich.",59,4,2031,"ek"
"Liparis loeselii (L.) Rich.",59,4,2035,"ek"
"Liparis loeselii (L.) Rich.",59,4,2039,"ek"
"Liparis loeselii (L.) Rich.",59,4,2043,"ek"
"Liparis loeselii (L.) Rich.",59,4,2047,"ek"
"Liparis loeselii (L.) Rich.",71,4,2025,"ek"
"Liparis loeselii (L.) Rich.",71,4,2027,"ek"
"Liparis loeselii (L.) Rich.",71,4,2029,"ek"
"Liparis loeselii (L.) Rich.",71,4,2031,"ek"
"Liparis loeselii (L.) Rich.",71,4,2033,"ek"
"Liparis loeselii (L.) Rich.",71,4,2035,"ek"
"Liparis loeselii (L.) Rich.",71,4,2037,"ek"
"Liparis loeselii (L.) Rich.",71,4,2039,"ek"
"Liparis loeselii (L.) Rich.",71,4,2041,"ek"
"Liparis loeselii (L.) Rich.",71,4,2043,"ek"
"Liparis loeselii (L.) Rich.",71,4,2045,"ek"
"Liparis loeselii (L.) Rich.",71,4,2047,"ek"
"Liparis loeselii (L.) Rich.",82,2,2027,"ek"
"Liparis loeselii (L.) Rich.",82,2,2031,"ek"
"Liparis loeselii (L.) Rich.",82,2,2035,"ek"
"Liparis loeselii (L.) Rich.",82,2,2039,"ek"
"Liparis loeselii (L.) Rich.",82,2,2043,"ek"
"Liparis loeselii (L.) Rich.",82,2,2047,"ek"
"Liparis loeselii (L.) Rich.",92,2,2025,"ek"
"Liparis loeselii (L.) Rich.",92,2,2027,"ek"
"Liparis loeselii (L.) Rich.",92,2,2029,"ek"
"Liparis loeselii (L.) Rich.",92,2,2031,"ek"
"Liparis loeselii (L.) Rich.",92,2,2033,"ek"
"Liparis loeselii (L.) Rich.",92,2,2035,"ek"
"Liparis loeselii (L.) Rich.",92,2,2037,"ek"
"Liparis loeselii (L.) Rich.",92,2,2039,"ek"
"Liparis loeselii (L.) Rich.",92,2,2041,"ek"
"Liparis loeselii (L.) Rich.",92,2,2043,"ek"
"Liparis loeselii (L.) Rich.",92,2,2045,"ek"
"Liparis loeselii (L.) Rich.",92,2,2047,"ek"
"Liparis loeselii (L.) Rich.",102,1,2025,"ek"
"Liparis loeselii (L.) Rich.",102,1,2027,"ek"
"Liparis loeselii (L.) Rich.",102,1,2029,"ek"
"Liparis loeselii (L.) Rich.",102,1,2031,"ek"
"Liparis loeselii (L.) Rich.",102,1,2033,"ek"
"Liparis loeselii (L.) Rich.",102,1,2035,"ek"
"Liparis loeselii (L.) Rich.",102,1,2037,"ek"
"Liparis loeselii (L.) Rich.",102,1,2039,"ek"
"Liparis loeselii (L.) Rich.",102,1,2041,"ek"
"Liparis loeselii (L.) Rich.",102,1,2043,"ek"
"Liparis loeselii (L.) Rich.",102,1,2045,"ek"
"Liparis loeselii (L.) Rich.",102,1,2047,"ek"
"Liparis loeselii (L.) Rich.",102,2,2025,"ek"
"Liparis loeselii (L.) Rich.",102,2,2027,"ek"
"Liparis loeselii (L.) Rich.",102,2,2029,"ek"
"Liparis loeselii (L.) Rich.",102,2,2031,"ek"
"Liparis loeselii (L.) Rich.",102,2,2033,"ek"
"Liparis loeselii (L.) Rich.",102,2,2035,"ek"
"Liparis loeselii (L.) Rich.",102,2,2037,"ek"
"Liparis loeselii (L.) Rich.",102,2,2039,"ek"
"Liparis loeselii (L.) Rich.",102,2,2041,"ek"
"Liparis loeselii (L.) Rich.",102,2,2043,"ek"
"Liparis loeselii (L.) Rich.",102,2,2045,"ek"
"Liparis loeselii (L.) Rich.",102,2,2047,"ek"
"Liparis loeselii (L.) Rich.",102,3,2027,"ek"
"Liparis loeselii (L.) Rich.",102,3,2031,"ek"
"Liparis loeselii (L.) Rich.",102,3,2035,"ek"
"Liparis loeselii (L.) Rich.",102,3,2039,"ek"
"Liparis loeselii (L.) Rich.",102,3,2043,"ek"
"Liparis loeselii (L.) Rich.",102,3,2047,"ek"
"Liparis loeselii (L.) Rich.",103,1,2025,"ek"
"Liparis loeselii (L.) Rich.",103,1,2027,"ek"
"Liparis loeselii (L.) Rich.",103,1,2029,"ek"
"Liparis loeselii (L.) Rich.",103,1,2031,"ek"
"Liparis loeselii (L.) Rich.",103,1,2033,"ek"
"Liparis loeselii (L.) Rich.",103,1,2035,"ek"
"Liparis loeselii (L.) Rich.",103,1,2037,"ek"
"Liparis loeselii (L.) Rich.",103,1,2039,"ek"
"Liparis loeselii (L.) Rich.",103,1,2041,"ek"
"Liparis loeselii (L.) Rich.",103,1,2043,"ek"
"Liparis loeselii (L.) Rich.",103,1,2045,"ek"
"Liparis loeselii (L.) Rich.",103,1,2047,"ek"
"Littorella uniflora (L.) Asch.",1,1,2031,"ek"
"Littorella uniflora (L.) Asch.",1,1,2039,"ek"
"Littorella uniflora (L.) Asch.",1,1,2047,"ek"
"Littorella uniflora (L.) Asch.",1,2,2031,"ek"
"Littorella uniflora (L.) Asch.",1,2,2039,"ek"
"Littorella uniflora (L.) Asch.",1,2,2047,"ek"
"Littorella uniflora (L.) Asch.",1,3,2031,"ek"
"Littorella uniflora (L.) Asch.",1,3,2039,"ek"
"Littorella uniflora (L.) Asch.",1,3,2047,"ek"
"Littorella uniflora (L.) Asch.",1,4,2031,"ek"
"Littorella uniflora (L.) Asch.",1,4,2039,"ek"
"Littorella uniflora (L.) Asch.",1,4,2047,"ek"
"Littorella uniflora (L.) Asch.",1,5,2027,"ek"
"Littorella uniflora (L.) Asch.",1,5,2031,"ek"
"Littorella uniflora (L.) Asch.",1,5,2035,"ek"
"Littorella uniflora (L.) Asch.",1,5,2039,"ek"
"Littorella uniflora (L.) Asch.",1,5,2043,"ek"
"Littorella uniflora (L.) Asch.",1,5,2047,"ek"
"Littorella uniflora (L.) Asch.",1,6,2031,"ek"
"Littorella uniflora (L.) Asch.",1,6,2039,"ek"
"Littorella uniflora (L.) Asch.",1,6,2047,"ek"
"Nitella confervacea (Bréb.) Leonh.",1,3,2024,"ek"
"Nitella hyalina (DC.) C. Agardh",14,1,2025,"ek"
"Nitella hyalina (DC.) C. Agardh",14,1,2029,"ek"
"Nitella hyalina (DC.) C. Agardh",14,1,2037,"ek"
"Nitella hyalina (DC.) C. Agardh",14,1,2045,"ek"
"Nitella hyalina (DC.) C. Agardh",15,1,2025,"ek"
"Nitella hyalina (DC.) C. Agardh",15,1,2029,"ek"
"Nitella hyalina (DC.) C. Agardh",15,1,2037,"ek"
"Nitella hyalina (DC.) C. Agardh",15,1,2045,"ek"
"Nitella hyalina (DC.) C. Agardh",16,1,2025,"ek"
"Nitella hyalina (DC.) C. Agardh",16,1,2029,"ek"
"Nitella hyalina (DC.) C. Agardh",16,1,2037,"ek"
"Nitella hyalina (DC.) C. Agardh",16,1,2045,"ek"
"Nitella hyalina (DC.) C. Agardh",17,1,2025,"ek"
"Nitella hyalina (DC.) C. Agardh",17,1,2029,"ek"
"Nitella hyalina (DC.) C. Agardh",17,1,2037,"ek"
"Nitella hyalina (DC.) C. Agardh",17,1,2045,"ek"
"Nitella tenuissima (Desv.) Kütz.",4,1,2025,"ek"
"Nitella tenuissima (Desv.) Kütz.",4,1,2029,"ek"
"Nitella tenuissima (Desv.) Kütz.",4,1,2037,"ek"
"Nitella tenuissima (Desv.) Kütz.",4,1,2045,"ek"
"Nuphar pumila (Timm) DC.",26,4,2025,"ek"
"Nuphar pumila (Timm) DC.",26,4,2029,"ek"
"Nuphar pumila (Timm) DC.",26,4,2037,"ek"
"Nuphar pumila (Timm) DC.",26,4,2045,"ek"
"Oenanthe aquatica (L.) Poir.",3,103,2029,"ek"
"Oenanthe aquatica (L.) Poir.",3,103,2031,"ek"
"Oenanthe aquatica (L.) Poir.",3,103,2035,"ek"
"Oenanthe aquatica (L.) Poir.",3,103,2043,"ek"
"Oenanthe aquatica (L.) Poir.",3,104,2029,"ek"
"Oenanthe aquatica (L.) Poir.",3,104,2031,"ek"
"Oenanthe aquatica (L.) Poir.",3,104,2035,"ek"
"Oenanthe aquatica (L.) Poir.",3,104,2043,"ek"
"Oenanthe aquatica (L.) Poir.",3,105,2029,"ek"
"Oenanthe aquatica (L.) Poir.",3,105,2031,"ek"
"Oenanthe aquatica (L.) Poir.",3,105,2035,"ek"
"Oenanthe aquatica (L.) Poir.",3,105,2043,"ek"
"Oenanthe aquatica (L.) Poir.",4,4,2029,"ek"
"Oenanthe aquatica (L.) Poir.",4,4,2031,"ek"
"Oenanthe aquatica (L.) Poir.",4,4,2035,"ek"
"Oenanthe aquatica (L.) Poir.",4,4,2043,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2025,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2027,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2033,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2037,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2039,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2041,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2043,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2045,"ek"
"Oenanthe aquatica (L.) Poir.",6,1,2047,"ek"
"Oenanthe aquatica (L.) Poir.",6,2,2029,"ek"
"Oenanthe aquatica (L.) Poir.",6,2,2031,"ek"
"Oenanthe aquatica (L.) Poir.",6,2,2035,"ek"
"Oenanthe aquatica (L.) Poir.",6,2,2043,"ek"
"Oenanthe aquatica (L.) Poir.",103,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",103,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",103,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",103,1,2043,"ek"
"Oenanthe aquatica (L.) Poir.",103,2,2029,"ek"
"Oenanthe aquatica (L.) Poir.",103,2,2031,"ek"
"Oenanthe aquatica (L.) Poir.",103,2,2035,"ek"
"Oenanthe aquatica (L.) Poir.",103,2,2043,"ek"
"Oenanthe aquatica (L.) Poir.",104,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",104,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",104,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",104,1,2043,"ek"
"Oenanthe aquatica (L.) Poir.",104,2,2029,"ek"
"Oenanthe aquatica (L.) Poir.",104,2,2031,"ek"
"Oenanthe aquatica (L.) Poir.",104,2,2035,"ek"
"Oenanthe aquatica (L.) Poir.",104,2,2043,"ek"
"Oenanthe aquatica (L.) Poir.",105,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",105,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",105,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",105,1,2043,"ek"
"Oenanthe aquatica (L.) Poir.",106,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",106,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",106,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",106,1,2043,"ek"
"Oenanthe aquatica (L.) Poir.",107,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",107,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",107,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",107,1,2043,"ek"
"Oenanthe aquatica (L.) Poir.",107,2,2029,"ek"
"Oenanthe aquatica (L.) Poir.",107,2,2031,"ek"
"Oenanthe aquatica (L.) Poir.",107,2,2035,"ek"
"Oenanthe aquatica (L.) Poir.",107,2,2043,"ek"
"Oenanthe aquatica (L.) Poir.",108,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",108,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",108,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",108,1,2043,"ek"
"Oenanthe aquatica (L.) Poir.",109,1,2029,"ek"
"Oenanthe aquatica (L.) Poir.",109,1,2031,"ek"
"Oenanthe aquatica (L.) Poir.",109,1,2035,"ek"
"Oenanthe aquatica (L.) Poir.",109,1,2043,"ek"
"Ophrys araneola Rchb.",100,7,2021,"ek"
"Ophrys araneola Rchb.",100,7,2025,"ek"
"Ophrys araneola Rchb.",100,7,2033,"ek"
"Ophrys araneola Rchb.",100,7,2041,"ek"
"Ophrys araneola Rchb.",148,4,2025,"ek"
"Ophrys araneola Rchb.",148,4,2029,"ek"
"Ophrys araneola Rchb.",148,4,2037,"ek"
"Ophrys araneola Rchb.",148,4,2045,"ek"
"Ophrys araneola Rchb.",160,6,2029,"ek"
"Ophrys araneola Rchb.",160,6,2031,"ek"
"Ophrys araneola Rchb.",160,6,2035,"ek"
"Ophrys araneola Rchb.",160,6,2043,"ek"
"Ophrys araneola Rchb.",160,7,2029,"ek"
"Ophrys araneola Rchb.",160,7,2031,"ek"
"Ophrys araneola Rchb.",160,7,2035,"ek"
"Ophrys araneola Rchb.",160,7,2043,"ek"
"Ophrys araneola Rchb.",161,1,2029,"ek"
"Ophrys araneola Rchb.",161,1,2031,"ek"
"Ophrys araneola Rchb.",161,1,2035,"ek"
"Ophrys araneola Rchb.",161,1,2043,"ek"
"Orchis pallens L.",119,1,2026,"ek"
"Orchis pallens L.",119,1,2028,"ek"
"Orchis pallens L.",119,1,2032,"ek"
"Orchis pallens L.",119,1,2040,"ek"
"Orchis pallens L.",120,1,2028,"ek"
"Orchis pallens L.",120,1,2030,"ek"
"Orchis pallens L.",120,1,2034,"ek"
"Orchis pallens L.",120,1,2042,"ek"
"Orchis pallens L.",121,1,2026,"ek"
"Orchis pallens L.",121,1,2028,"ek"
"Orchis pallens L.",121,1,2032,"ek"
"Orchis pallens L.",121,1,2040,"ek"
"Orchis pallens L.",122,1,2026,"ek"
"Orchis pallens L.",122,1,2028,"ek"
"Orchis pallens L.",122,1,2032,"ek"
"Orchis pallens L.",122,1,2040,"ek"
"Orchis palustris Jacq.",74,6,2029,"ek"
"Orchis palustris Jacq.",74,6,2031,"ek"
"Orchis palustris Jacq.",74,6,2035,"ek"
"Orchis palustris Jacq.",74,6,2043,"ek"
"Orchis palustris Jacq.",85,5,2029,"ek"
"Orchis palustris Jacq.",85,5,2031,"ek"
"Orchis palustris Jacq.",85,5,2035,"ek"
"Orchis palustris Jacq.",85,5,2043,"ek"
"Orchis palustris Jacq.",97,1,2028,"ek"
"Orchis palustris Jacq.",97,1,2030,"ek"
"Orchis palustris Jacq.",97,1,2034,"ek"
"Orchis palustris Jacq.",97,1,2042,"ek"
"Orchis palustris Jacq.",97,2,2028,"ek"
"Orchis palustris Jacq.",97,2,2030,"ek"
"Orchis palustris Jacq.",97,2,2034,"ek"
"Orchis palustris Jacq.",97,2,2042,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",103,1,2029,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",103,1,2031,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",103,1,2035,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",103,1,2043,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,1,2029,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,1,2031,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,1,2035,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,1,2043,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,2,2029,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,2,2031,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,2,2035,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,2,2043,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,3,2029,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,3,2031,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,3,2035,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",116,3,2043,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,3,2029,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,3,2031,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,3,2035,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,3,2043,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,4,2029,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,4,2031,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,4,2035,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",150,4,2043,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",165,1,2029,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",165,1,2031,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",165,1,2035,"ek"
"Orobanche alsatica Kirschl. subsp. alsatica",165,1,2043,"ek"
"Orobanche gracilis Sm.",124,1,2029,"ek"
"Orobanche gracilis Sm.",124,1,2031,"ek"
"Orobanche gracilis Sm.",124,1,2035,"ek"
"Orobanche gracilis Sm.",124,1,2043,"ek"
"Orobanche gracilis Sm.",134,3,2029,"ek"
"Orobanche gracilis Sm.",134,3,2031,"ek"
"Orobanche gracilis Sm.",134,3,2035,"ek"
"Orobanche gracilis Sm.",134,3,2043,"ek"
"Orobanche gracilis Sm.",139,2,2029,"ek"
"Orobanche gracilis Sm.",139,2,2031,"ek"
"Orobanche gracilis Sm.",139,2,2035,"ek"
"Orobanche gracilis Sm.",139,2,2043,"ek"
"Orobanche gracilis Sm.",139,3,2029,"ek"
"Orobanche gracilis Sm.",139,3,2031,"ek"
"Orobanche gracilis Sm.",139,3,2035,"ek"
"Orobanche gracilis Sm.",139,3,2043,"ek"
"Orobanche gracilis Sm.",166,1,2029,"ek"
"Orobanche gracilis Sm.",166,1,2031,"ek"
"Orobanche gracilis Sm.",166,1,2035,"ek"
"Orobanche gracilis Sm.",166,1,2043,"ek"
"Orobanche gracilis Sm.",167,1,2029,"ek"
"Orobanche gracilis Sm.",167,1,2031,"ek"
"Orobanche gracilis Sm.",167,1,2035,"ek"
"Orobanche gracilis Sm.",167,1,2043,"ek"
"Orobanche gracilis Sm.",170,2,2029,"ek"
"Orobanche gracilis Sm.",170,2,2031,"ek"
"Orobanche gracilis Sm.",170,2,2035,"ek"
"Orobanche gracilis Sm.",170,2,2043,"ek"
"Orobanche gracilis Sm.",170,3,2029,"ek"
"Orobanche gracilis Sm.",170,3,2031,"ek"
"Orobanche gracilis Sm.",170,3,2035,"ek"
"Orobanche gracilis Sm.",170,3,2043,"ek"
"Orobanche lutea Baumg.",134,7,2029,"ek"
"Orobanche lutea Baumg.",134,7,2031,"ek"
"Orobanche lutea Baumg.",134,7,2035,"ek"
"Orobanche lutea Baumg.",134,7,2043,"ek"
"Orobanche purpurea Jacq.",110,2,2018,"ek"
"Orobanche purpurea Jacq.",110,2,2022,"ek"
"Orobanche purpurea Jacq.",110,2,2030,"ek"
"Orobanche purpurea Jacq.",110,2,2038,"ek"
"Orobanche purpurea Jacq.",135,10,2029,"ek"
"Orobanche purpurea Jacq.",135,10,2031,"ek"
"Orobanche purpurea Jacq.",135,10,2035,"ek"
"Orobanche purpurea Jacq.",135,10,2043,"ek"
"Orobanche purpurea Jacq.",170,2,2029,"ek"
"Orobanche purpurea Jacq.",170,2,2031,"ek"
"Orobanche purpurea Jacq.",170,2,2035,"ek"
"Orobanche purpurea Jacq.",170,2,2043,"ek"
"Orobanche purpurea Jacq.",185,1,2029,"ek"
"Orobanche purpurea Jacq.",185,1,2031,"ek"
"Orobanche purpurea Jacq.",185,1,2035,"ek"
"Orobanche purpurea Jacq.",185,1,2043,"ek"
"Orobanche purpurea Jacq.",186,1,2029,"ek"
"Orobanche purpurea Jacq.",186,1,2031,"ek"
"Orobanche purpurea Jacq.",186,1,2035,"ek"
"Orobanche purpurea Jacq.",186,1,2043,"ek"
"Orobanche purpurea Jacq.",197,1,2029,"ek"
"Orobanche purpurea Jacq.",197,1,2031,"ek"
"Orobanche purpurea Jacq.",197,1,2035,"ek"
"Orobanche purpurea Jacq.",197,1,2043,"ek"
"Potamogeton coloratus Hornem.",23,9,2025,"ek"
"Potamogeton coloratus Hornem.",23,9,2029,"ek"
"Potamogeton coloratus Hornem.",23,9,2037,"ek"
"Potamogeton coloratus Hornem.",23,9,2045,"ek"
"Potamogeton coloratus Hornem.",23,10,2025,"ek"
"Potamogeton coloratus Hornem.",23,10,2029,"ek"
"Potamogeton coloratus Hornem.",23,10,2037,"ek"
"Potamogeton coloratus Hornem.",23,10,2045,"ek"
"Potamogeton coloratus Hornem.",23,11,2025,"ek"
"Potamogeton coloratus Hornem.",23,11,2029,"ek"
"Potamogeton coloratus Hornem.",23,11,2037,"ek"
"Potamogeton coloratus Hornem.",23,11,2045,"ek"
"Potamogeton coloratus Hornem.",135,1,2024,"ek"
"Potamogeton coloratus Hornem.",135,1,2028,"ek"
"Potamogeton coloratus Hornem.",135,1,2036,"ek"
"Potamogeton coloratus Hornem.",135,1,2044,"ek"
"Potentilla alba L.",39,1,2025,"ek"
"Potentilla alba L.",39,1,2029,"ek"
"Potentilla alba L.",39,1,2037,"ek"
"Potentilla alba L.",39,1,2045,"ek"
"Potentilla inclinata Vill.",129,7,2025,"ek"
"Potentilla inclinata Vill.",129,7,2029,"ek"
"Potentilla inclinata Vill.",129,7,2037,"ek"
"Potentilla inclinata Vill.",129,7,2045,"ek"
"Potentilla inclinata Vill.",142,4,2025,"ek"
"Potentilla inclinata Vill.",142,4,2029,"ek"
"Potentilla inclinata Vill.",142,4,2037,"ek"
"Potentilla inclinata Vill.",142,4,2045,"ek"
"Potentilla inclinata Vill.",142,5,2025,"ek"
"Potentilla inclinata Vill.",142,5,2029,"ek"
"Potentilla inclinata Vill.",142,5,2037,"ek"
"Potentilla inclinata Vill.",142,5,2045,"ek"
"Potentilla inclinata Vill.",155,1,2029,"ek"
"Potentilla inclinata Vill.",155,1,2031,"ek"
"Potentilla inclinata Vill.",155,1,2035,"ek"
"Potentilla inclinata Vill.",155,1,2043,"ek"
"Potentilla inclinata Vill.",156,1,2029,"ek"
"Potentilla inclinata Vill.",156,1,2031,"ek"
"Potentilla inclinata Vill.",156,1,2035,"ek"
"Potentilla inclinata Vill.",156,1,2043,"ek"
"Potentilla inclinata Vill.",157,1,2029,"ek"
"Potentilla inclinata Vill.",157,1,2031,"ek"
"Potentilla inclinata Vill.",157,1,2035,"ek"
"Potentilla inclinata Vill.",157,1,2043,"ek"
"Potentilla inclinata Vill.",157,2,2029,"ek"
"Potentilla inclinata Vill.",157,2,2031,"ek"
"Potentilla inclinata Vill.",157,2,2035,"ek"
"Potentilla inclinata Vill.",157,2,2043,"ek"
"Potentilla inclinata Vill.",157,3,2029,"ek"
"Potentilla inclinata Vill.",157,3,2031,"ek"
"Potentilla inclinata Vill.",157,3,2035,"ek"
"Potentilla inclinata Vill.",157,3,2043,"ek"
"Potentilla inclinata Vill.",157,4,2029,"ek"
"Potentilla inclinata Vill.",157,4,2031,"ek"
"Potentilla inclinata Vill.",157,4,2035,"ek"
"Potentilla inclinata Vill.",157,4,2043,"ek"
"Potentilla inclinata Vill.",157,5,2029,"ek"
"Potentilla inclinata Vill.",157,5,2031,"ek"
"Potentilla inclinata Vill.",157,5,2035,"ek"
"Potentilla inclinata Vill.",157,5,2043,"ek"
"Potentilla leucopolitana P. J. Müll.",15,6,2025,"ek"
"Potentilla leucopolitana P. J. Müll.",15,6,2029,"ek"
"Potentilla leucopolitana P. J. Müll.",15,6,2037,"ek"
"Potentilla leucopolitana P. J. Müll.",15,6,2045,"ek"
"Potentilla leucopolitana P. J. Müll.",28,1,2025,"ek"
"Potentilla leucopolitana P. J. Müll.",28,1,2029,"ek"
"Potentilla leucopolitana P. J. Müll.",28,1,2037,"ek"
"Potentilla leucopolitana P. J. Müll.",28,1,2045,"ek"
"Potentilla praecox F. W. Schultz",21,2,2025,"ek"
"Potentilla praecox F. W. Schultz",21,2,2029,"ek"
"Potentilla praecox F. W. Schultz",21,2,2037,"ek"
"Potentilla praecox F. W. Schultz",21,2,2045,"ek"
"Potentilla praecox F. W. Schultz",25,1,2025,"ek"
"Potentilla praecox F. W. Schultz",25,1,2029,"ek"
"Potentilla praecox F. W. Schultz",25,1,2037,"ek"
"Potentilla praecox F. W. Schultz",25,1,2045,"ek"
"Pyrola chlorantha Sw.",1,8,2025,"ek"
"Pyrola chlorantha Sw.",1,8,2027,"ek"
"Pyrola chlorantha Sw.",1,8,2029,"ek"
"Pyrola chlorantha Sw.",1,8,2031,"ek"
"Pyrola chlorantha Sw.",1,8,2033,"ek"
"Pyrola chlorantha Sw.",1,8,2035,"ek"
"Pyrola chlorantha Sw.",1,8,2037,"ek"
"Pyrola chlorantha Sw.",1,8,2039,"ek"
"Pyrola chlorantha Sw.",1,8,2041,"ek"
"Pyrola chlorantha Sw.",1,8,2043,"ek"
"Pyrola chlorantha Sw.",1,8,2045,"ek"
"Pyrola chlorantha Sw.",1,8,2047,"ek"
"Ranunculus reptans L.",3,1,2006,"ek"
"Ranunculus reptans L.",3,1,2010,"ek"
"Ranunculus reptans L.",3,1,2018,"ek"
"Ranunculus reptans L.",3,1,2026,"ek"
"Ranunculus reptans L.",4,2,2011,"ek"
"Ranunculus reptans L.",4,2,2015,"ek"
"Ranunculus reptans L.",4,2,2023,"ek"
"Ranunculus reptans L.",4,2,2031,"ek"
"Ranunculus reptans L.",4,3,2016,"ek"
"Ranunculus reptans L.",4,3,2020,"ek"
"Ranunculus reptans L.",4,3,2028,"ek"
"Ranunculus reptans L.",4,3,2036,"ek"
"Ranunculus reptans L.",5,1,2010,"ek"
"Ranunculus reptans L.",5,1,2014,"ek"
"Ranunculus reptans L.",5,1,2022,"ek"
"Ranunculus reptans L.",5,1,2030,"ek"
"Ranunculus reptans L.",5,2,2014,"ek"
"Ranunculus reptans L.",5,2,2018,"ek"
"Ranunculus reptans L.",5,2,2026,"ek"
"Ranunculus reptans L.",5,2,2034,"ek"
"Ranunculus reptans L.",8,1,2017,"ek"
"Ranunculus reptans L.",8,1,2021,"ek"
"Ranunculus reptans L.",8,1,2029,"ek"
"Ranunculus reptans L.",8,1,2037,"ek"
"Ranunculus reptans L.",9,1,2013,"ek"
